dose,table,lang,target,med_slope,up,dn,n,p
lift,fields,en,M2,0.00020578633191080622,27,23,50,0.6718110337653656
lift,fields,en,M7,5.8154790041283546e-05,27,23,50,0.6718110337653656
lift,fields,en,N5,2.2692093269435566e-05,27,23,50,0.6718110337653656
lift,fields,en,N5-,7.512662769751624e-05,27,23,50,0.6718110337653656
lift,fields,en,N6+++,6.485015005383952e-05,27,23,50,0.6718110337653656
lift,fields,en,O1.2,-4.59312959562574e-05,23,27,50,0.6718110337653656
lift,fields,en,S1.2.4-,4.3589431838201014e-05,27,23,50,0.6718110337653656
lift,fields,en,S1.2.5+,-6.874797752722376e-05,23,27,50,0.6718110337653656
lift,fields,en,S5+,-5.055312110596842e-05,23,27,50,0.6718110337653656
lift,fields,en,S7.2+,9.357369731597927e-05,27,23,50,0.6718110337653656
lift,fields,en,S8-,0.00012088848601668921,27,23,50,0.6718110337653656
lift,fields,en,T1.3,5.691925986617834e-05,27,23,50,0.6718110337653656
lift,fields,en,T4--,-8.686384703328917e-05,23,27,50,0.6718110337653656
lift,fields,en,W2,0.0002886796584092427,27,23,50,0.6718110337653656
lift,fields,en,W4,0.00012756091993617593,27,23,50,0.6718110337653656
lift,fields,en,X3.3,-0.00021625790261649096,23,27,50,0.6718110337653656
lift,fields,en,X9.1+,-3.208261680884105e-05,23,27,50,0.6718110337653656
lift,fields,en,S1.2.1+,5.769218295695111e-05,21,18,39,0.7492586247608415
lift,fields,en,N5+++,0.00023885356096048233,23,20,43,0.7607916425613439
lift,fields,en,N3.8---,4.7390977078732246e-05,24,21,45,0.765991824244793
lift,fields,en,N3.1,2.6739921313979452e-05,25,22,47,0.7708669945730264
lift,fields,en,S2.1f,-0.0002667900742406105,23,26,49,0.7754496546815659
lift,fields,en,S2mfc,5.278687699266871e-05,26,23,49,0.7754496546815659
lift,fields,en,S4m,-0.0004456965299314818,23,26,49,0.7754496546815659
lift,fields,en,E4.1--,6.880102050141753e-05,9,7,16,0.803619384765625
lift,fields,en,E5+,1.332406071264351e-05,9,7,16,0.803619384765625
lift,fields,en,N5c,-0.0001670490313328681,7,9,16,0.803619384765625
lift,fields,en,K5.2,-8.926969258389987e-05,11,13,24,0.8388197422027588
lift,fields,en,L2mfnc,2.9801052703682135e-05,15,13,28,0.8505540192127228
lift,fields,en,A5.1+++,-0.0003621410890203314,17,19,36,0.8679394004284404
